Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
32.248,-264.00,-13528.00,-9260.00,351.00,728.00,-6.00
32.349,-208.00,-13812.00,-9144.00,-142.00,315.00,-31.00
32.455,-204.00,-13876.00,-9152.00,-309.00,344.00,-4.00
32.558,-276.00,-13760.00,-9032.00,-339.00,336.00,12.00
32.661,-184.00,-13808.00,-9196.00,-314.00,341.00,11.00
32.765,-144.00,-13932.00,-9116.00,-346.00,331.00,27.00
32.868,-200.00,-13884.00,-9364.00,-367.00,354.00,27.00
32.971,-224.00,-13720.00,-9084.00,-233.00,328.00,3.00
33.075,-168.00,-13792.00,-9116.00,-317.00,332.00,4.00
33.178,-180.00,-13716.00,-9076.00,-360.00,317.00,6.00
33.281,-200.00,-13832.00,-9220.00,-329.00,332.00,13.00
33.385,-192.00,-13824.00,-8980.00,-339.00,356.00,28.00
33.488,-192.00,-13760.00,-9084.00,-210.00,437.00,1.00
33.592,-172.00,-13812.00,-9132.00,-412.00,325.00,40.00
33.693,-160.00,-13924.00,-9008.00,-414.00,348.00,-10.00
33.798,-220.00,-13948.00,-9124.00,-353.00,328.00,32.00
33.901,-80.00,-13852.00,-9040.00,-321.00,345.00,17.00
34.005,-104.00,-13888.00,-9068.00,-319.00,328.00,18.00
34.108,-96.00,-13920.00,-9080.00,-350.00,335.00,3.00
34.211,-92.00,-13864.00,-8984.00,-91.00,382.00,5.00
34.314,-72.00,-13900.00,-9204.00,-404.00,317.00,50.00
34.418,-180.00,-13776.00,-8904.00,-397.00,312.00,14.00
34.521,-56.00,-13904.00,-8988.00,-292.00,353.00,15.00
34.625,-172.00,-13960.00,-8996.00,-352.00,345.00,33.00
34.728,-96.00,-13928.00,-8856.00,-317.00,342.00,5.00
34.830,-124.00,-14020.00,-9036.00,-412.00,359.00,-13.00
34.935,-108.00,-13720.00,-8624.00,21.00,510.00,15.00
35.038,32.00,-13864.00,-8884.00,-408.00,332.00,43.00
35.142,-68.00,-13904.00,-8944.00,-371.00,338.00,-2.00
35.245,-80.00,-14000.00,-8992.00,-338.00,312.00,35.00
35.348,-164.00,-13936.00,-8832.00,-340.00,353.00,8.00
35.451,-56.00,-13880.00,-8940.00,-388.00,324.00,25.00
